,Latitude,Longitude,City,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,-16.4833,-151.75,faanui,pf,81.63,70.0,100.0,4.14,1619749474.0
1,77.484,-69.3632,qaanaaq,gl,25.36,62.0,100.0,10.04,1619749342.0
2,37.4636,-122.4286,half moon bay,us,63.0,82.0,1.0,10.36,1619749426.0
3,-23.1203,-134.9692,rikitea,pf,77.05,63.0,77.0,12.84,1619749079.0
4,66.0449,-17.3389,husavik,is,35.6,80.0,90.0,5.75,1619749399.0
5,59.3172,50.8078,nagorsk,ru,31.08,79.0,12.0,3.51,1619749784.0
6,24.7,-77.7667,andros town,bs,78.8,69.0,75.0,8.05,1619749784.0
7,-15.9387,-5.7168,jamestown,sh,69.69,71.0,15.0,18.95,1619749349.0
8,-21.2,-175.2,vaini,to,75.2,100.0,90.0,12.66,1619749211.0
9,-34.4187,19.2345,hermanus,za,50.0,93.0,58.0,1.99,1619749339.0
10,24.8333,-100.0667,galeana,mx,64.0,63.0,91.0,13.0,1619749785.0
11,40.5982,-124.1573,fortuna,us,55.99,76.0,1.0,13.8,1619749374.0
12,70.4692,-68.5914,clyde river,ca,23.0,100.0,90.0,4.61,1619749429.0
13,57.79,-152.4072,kodiak,us,42.8,87.0,90.0,5.75,1619749366.0
14,-21.2078,-159.775,avarua,ck,82.4,83.0,20.0,9.22,1619749082.0
15,-42.4721,-73.7732,castro,cl,57.0,94.0,0.0,10.36,1619749368.0
16,-19.9,48.8,mahanoro,mg,70.9,93.0,11.0,6.62,1619749343.0
17,60.1432,-45.2371,nanortalik,gl,36.91,84.0,7.0,9.98,1619749345.0
18,19.7297,-155.09,hilo,us,82.4,57.0,20.0,9.22,1619749339.0
19,46.9167,3.3333,nevers,fr,45.0,91.0,100.0,2.71,1619749786.0
20,69.2167,-51.1,ilulissat,gl,33.8,75.0,100.0,4.56,1619749400.0
21,-54.8,-68.3,ushuaia,ar,39.2,70.0,75.0,3.44,1619749340.0
22,39.722,-86.09,beech grove,us,54.0,82.0,1.0,3.44,1619749787.0
23,13.6017,26.6876,umm kaddadah,sd,75.45,72.0,100.0,7.47,1619749787.0
24,-20.4081,57.7,mahebourg,mu,77.0,88.0,75.0,12.66,1619749363.0
25,-34.5322,20.0403,bredasdorp,za,48.2,93.0,5.0,5.75,1619749343.0
